Mintopoly Money Airdrop (1,000,000 to top 400)
https://polygonscan.com/tx/0x715b0f291209c3de45ce0871b83d1dd060ae018078f27abd495d996b9efa17ec

Mintopolist Card (Top Place)
https://etherscan.io/tx/0x328ce443a3941c3e53b0fd3eafdf61439f763cd566bc7adea8700d185a0b20fd

Wall St. Banker for most combined rigs + nodes on msytery block (13,000 chosen)
https://etherscan.io/tx/0xb5b6b9b328c9f2b431e7a51338f48d60d2c2c600cfc5b9042d8a7b74de583ac3
https://etherscan.io/tx/0xc3167367e37594605e6d747bad70d5d930676c9b3d31f7c8dc17dda7367d8a62

TOKEN ALLOCATION
0xb2E76C1C7B18daAB0d80cD6d98d975E2C3F25E69 : 4,538.52
0xE51451E8680CA900eF3e1c92860c4b6D4B03d3e5 : 4,406.02
0xdc6E59958Ae67f8b81be8DDc8C97DDc3380A23e4 : 4,318.66
0xfeA89E11f99D9593DD7C511b57AAEe2f8236238A : 4,309.07
0xC21a016D1c3cE50D6127B7CdB1d8fe41DA9fC366 : 4,284.54
0x8eb64269Fa99144b079B0066C082a48ed5497401 : 4,207.71
0xd19749459dDC95FfC1EAc371b3D20792E967F1D5 : 4,199.89
0xB2AD4Cc109eFCaD0C9469C69Db830ffA426a2ac1 : 4,087.25
0x341f00c1b2B236EF26527590EC62F5960A356052 : 4,055.66
0xC0EBC949d3047812b68372ef7d3c1A927f3A8De4 : 4,048.15
0x55428B02Ba619b82F5a45d75898261ee8B8C7963 : 4,044.66
0xD6d90AdC546dD74f3Adb85b3b17A3a7677A8E3Ef : 4,039.25
0xe624acf53be0dA1c6e134b1Ce4200C2DF2E80F72 : 3,850.32
0xF71478806755326018D2F919bD25b47254884dd7 : 3,836.74
0xCb2D99FF0fCAB296D46c5C2401ac7b7208A6F56C : 3,813.91
0x6C0f61Eee29242cFF1C89adCC279C83563dA828e : 3,812.57
0xEd8fc2cc80B5D6D007275c7D7b29C2c7d1c812D0 : 3,721.96
0x487DBdb932b100a126bAfDd15a0A71bAF5673057 : 3,705.79
0x43b33439696d0C3a66E8e99a23e1BDc3f85c743A : 3,693.2
0xC66eCc6E3575d943E220538400dA7d714C942206 : 3,625.35
0x45a90DdE92CfD44bA0f1b0fbc1F2941744c267e1 : 3,565.17
0xB714ecEcc7fc7B463586d0D4C16bBCcDC57B49AC : 3,530.77
0x2c805d9bCc17b92cc4310C40BBc81C8BE6798BB5 : 3,495.21
0x49a05C0d2aed393469cD45D30c2bfb6B7942252E : 3,401.73
0x43bEAAf55b402A7b59b8d2696eC040Fd09f6c001 : 3,393.34
0xa722eC9FAc9C09d6cE5115fCd79eA9619D40Dc28 : 3,381.94
0x8d3a7D8059C25025367fd3b3b8a6BB6281426976 : 3,346.03
0x6AbA25a9DE0d2E99609655fD1d2D2736E97196a4 : 3,322.9
0x854a9d08dFCDb1A851C78d4A99C9DAa72329D767 : 3,322.58
0x601CC830c38c4b93551E66909ABB07f012Ce0ddF : 3,308.47
0x6644d9087584a9939d58fA02d31b8aa0e313e426 : 3,306.04
0x0DDA99029533AC5d5b9A21026361f51722EC8065 : 3,303.15
0xaFfA53330aC3c5725FE68221Db0c90990Dac390b : 3,281.84
0x15208DdD07e2Ac34E85C52Df7E607Ae737dA0867 : 3,245.83
0x346E8053BBa61A8A56A4fe30a249dbc714857764 : 3,220.37
0xD04eCcf45990490eE8647602f25e1DcBAE1cB0f2 : 3,208.29
0xbD01Af47dE871242B65A0e55B41bF77270D11C5b : 3,195.48
0x17dB2d3e50aBA339e5c989Aa01FBbD3682af93E8 : 3,170.16
0x0Aa8e0b09eB3440b25E0E2B4D0cBdd797F092885 : 3,168.72
0xa93C145F371324F154487E931039C5b7E2456e25 : 3,167.99
0xf91dAb53547F74e8b8904cAcc5b50D94Be4ccfbA : 3,164.36
0x8E746BdAb39E13a7b318a8A236c6953334EA650b : 3,149.23
0x41090448Ff92F63Fe21d22736d1510270A9d5D8B : 3,109.76
0x51064563ED35a1255F9282D5dd72755bDf812247 : 3,050.29
0x57127f4AC4D11DD670916381f762FbBc0185d39C : 3,044.35
0x8a2F6f8931CC5B1dA960F045e1818ab6C9E0D446 : 3,040.04
0x22De2768c9A6bAe795672F80fe90b3998eaA2B96 : 3,037.84
0x83C502653d7F9A2301d8A38A5200aF591bF0968d : 3,030.23
0x9bFEA231D9b902Bc35D266EA6be4cD24e16673D4 : 3,015.5
0x355830ad4Ee75CA44863e958c6e05DBf494f31B1 : 2,999.61
0x120ee01E847ABfB15FFa91F89F2403d7c51C4Db5 : 2,961.58
0x9456F7dEC5fc0945aaAEc58EB550f6F2630a943E : 2,932.56
0x95DFc6eCFE5556428f1DcC5a3EfE99617beC2D1A : 2,921.01
0x0cA8DC7bC99510A596509789921CEb0EdC8AABEf : 2,918.86
0xB35906CBccb63c6d7EeC7f2C3218e601d988ea2b : 2,900.66
0xfC11DDcDeD074aCb0756E6f79904C2798112F011 : 2,874.91
