Mintopoly Money Airdrop (1,000,000 to top 400)
https://polygonscan.com/tx/0x715b0f291209c3de45ce0871b83d1dd060ae018078f27abd495d996b9efa17ec

Mintopolist Card (Top Place)
https://etherscan.io/tx/0x328ce443a3941c3e53b0fd3eafdf61439f763cd566bc7adea8700d185a0b20fd

Wall St. Banker for most combined rigs + nodes on msytery block (13,000 chosen)
https://etherscan.io/tx/0xb5b6b9b328c9f2b431e7a51338f48d60d2c2c600cfc5b9042d8a7b74de583ac3
https://etherscan.io/tx/0xc3167367e37594605e6d747bad70d5d930676c9b3d31f7c8dc17dda7367d8a62

TOKEN ALLOCATION
0x23Abdf92C7Db3C81AC2dce23bBCe9188a2ff2029 : 344
0xE85AD2d662EEC10858aA3AE726265E394fA983D3 : 341.71
0xb2268c118a43Ec5c893cE15817dE6776a397abD5 : 341
0x419CdE295fF18A1ec9cb5e9b781215480FC0d099 : 327.53
0x82517769e1f3cf15bF8962111ac7B5b5B6067Ffc : 326.67
0xC6D73d82f7f221e2FFB079780B5e642b13feB734 : 325.11
0xb732f8143A5c85eEF39378Ac0331d7Ae4Ad9E7d7 : 323.62
0x5009DBaCd4006Ce486175c913F7D0891cCAd5272 : 321.34
0xC1DC269e8473f7DEE2441C7061653771A046ddC3 : 319.11
0x385c8686140c8580B9fBAB0865b35cE2a0350F9D : 302.33
0x2273bdb46E2a31bb689D1f6f34849684a4080512 : 301.77
0x20D7957A50a16b9561faf24e28b6c6fF3d85d272 : 300.34
0x3efFd09516caF19f6F1496e1B8F412F0E518090f : 292.4
0xd86d84E511aE89a02b0f5A9E5bF7384C58Af2Ab8 : 291.7
0xC799A6C9337D7979293f4b65C281143C0847db59 : 291.3
0xD9e233543B69A61cfDB5784913AF53c87a7Bc83a : 287.57
0xFDd35E4Fa89Cd3948B8bC372577A5a4E715FAC09 : 282.82
0x98edEe1C13B73f26494eA1a4C998B560c1737cCf : 282.35
0xB52ed072E17EB51368901bC58cB37cb3e9cDfDf1 : 281.56
0x9aFaD836f219a8A18Ccd13ED49ed143d27915CEF : 277.93
0x7309172EbD55bc672529B2FbF219E528eC143d6b : 274.88
0xdD184CAc1AaEcaF7CDd441E2D68e8B11f4dD1F46 : 274.63
0x0E1e102755C10a4caBD946f0b8d70971746FE507 : 272.42
0x4b66334fbfA6dd5F5F45b64e33f9695162070397 : 265.5
0x8dcd0E6Af80D2BB9CdC91a7059fe77ca8E3899Bf : 259.51
0x8aa9c305BBe9cC76EBA10a12b5dA32ba353ee925 : 258.23
0xaC93ff38D6Edde7846d24494f741FD697cbF7612 : 257.39
0xf0279bF7DA2CeC10333334016b47C07B867e924C : 252.94
0x1B9b9877cF01a149A12513Ee44259BA6d5510C01 : 236.26
0xAE545D57C2B56cf20e1D936dd90D14241B45a752 : 235.9
0xcD46125AF2E665599606Cc75E7c70867F9F35BDe : 232.27
0xA48Dc01B70b90a28D30c00101b24bA8F6C7132bD : 222.78
0xDb6EE8b6d96A3A07F40141874219b2BE1E080980 : 221.07
0x8eFCEfdeeE68A7DeC0bF115b80b428e0e2E7ea66 : 213.14
0xe16E799F5a899578Aa86c76912D28E2DB62bcbb4 : 211.35
0x2e9eC6EAb1384c1b046da544cC8e1f4126656C56 : 208.85
0xA27D377c1d9F1B9Acdfbfe895d0B0Dd36d429846 : 206.32
0xC2D2d9f2453E32d447d6903d0Cc45C3b02Bf2c59 : 201.6
0x1bbb1aA86681446Da5692d6D90E4DA7474bA7Ed9 : 191.53
0x755dCbdC2a152B27f8195Be240cce4BB39b8E302 : 186.43
0x70072537976eF240Fbd7676cdF6A51353a04D342 : 185.44
0xCC4F13Bf4b962CCdbF162B7Ddbc70D12a172A408 : 183.32
0xFBC1035559aF2676EFe400B1B13A2d306143556c : 183
0x17Cb0961F3A7d85930C283773E8e987c18f1869c : 174.44
0x8f1D468bdB9D038063Ae78921f242ac3799F4C35 : 173.07
0x9eE1a4c61D12BD28ccc445158AC8C8F3A144FA45 : 169.34
0x66Fa4AB4049f820eA1317Cd0Aec5e8D8127F548d : 168.61
0xC6B2234F63d2DbF925217D00702be8771fa45DF7 : 168.24
0xE3AebEc1147C44Ab02eff8F1a279928F774C1872 : 167.43
0x76654a0c8f139F78277B0c2327f66Ab01a586Ab0 : 166.73
0xD11A8B4Ac3f5f71780eBA757384B741Af47BB5af : 166.1
0x8F9D49E7927f71B1f123Cc51AC94Eda6B1397EA7 : 162.64
0x45F9C188a212168F8e450597702D0182d0328A9e : 161.13
0x4F7A6178eCeCDaE7a91e16F50326608a3B515D0F : 153.05
0xE8c5C0Ac66ab5605064071cdcCD7eB44B8DE668a : 150.84
0x304B0d0d59B76FeF101d13cafE38F18F50821a1D : 150.73
0x2A7D51537DaEf42AE0fAA26b27457B9ff03b616E : 148.88
0x5dF16Bb9b061BfD263Ea97c3A2E1758c41e4F6b5 : 146.49
0x83fbFdC30fB6fd2db87361027fC814870a0f281a : 143.64
0x5366c9Fe52a66665ada8D79cc4d0eF3E9938914D : 141.77
0x326D434a47569F69F990fc7404e47f6A50FdD9CF : 138.82
0x262d7Be6cB46d602B4c994a32912f38AAa5da941 : 135.6
0xC96652c7754e97dEF8b2BE086da0F7F1CB884454 : 130.95
0x3262b41197fbC347C1aA99A33045d132653A136f : 128.98
0x406F58C16fB6eb28bf3D836a14c2e37EbFDa0d26 : 124.69
0x8Faf83B1bcd26E340F27580a02B91D46c05c15CF : 122.38
0x6896D7966CAF8006B5378CBfc98a2902f6d64487 : 114.31
0x41C1f182b6809dfF6BE7036721A108d188458D99 : 112.97
0x4E06ED60d6824FB7bF145B0311DB3405B2a96B39 : 112.2
0xb828812ba9cdB61790dC4238C386294640FA9989 : 110.65
0x3202FA50DC466401dF91956b3dBa6A5Dbd8db6c8 : 109.86
