MINTOPOLY MONEY AIRDROP (250,000 to top 150)
https://polygonscan.com/tx/0x4d224809a6a3440179572324e05aae9456cbabe7386c93392baf645c25174a24

Moon Base (Top Place)
https://polygonscan.com/tx/0x5894627a41ae0e1974139f7f54dccbd81380d054e854196696bae5ceac4265ae

Crystal Ball NFT (Most Oracles with 1 Hard Fork)
https://etherscan.io/tx/0xa694be7a418bab6bb1a82613ce4d958d845e1bcd1fcd5edfdea149cd7cb22256
https://etherscan.io/tx/0x7d0d4fd98e05a71d09faf640cb2fec0bd24c501fce60fd5b541d762dbf95e76e
https://etherscan.io/tx/0x54369cf99b202fc9ab4dbf1098511784ffb27279742a7e646f0a4836052c3e4d

TOKEN DISTRIBUTION
0xC62313D150A7821f4cEe07589b461e2B318B8af7 : 1,600.7
0x45F9C188a212168F8e450597702D0182d0328A9e : 1,572.04
0xEF7e98e318f73f79160170107E4b5FB3F70A9Af4 : 1,539.66
0x9a218Dd07CcC2463EDEE070622D77A7fE6D2Aa50 : 1,526.26
0x74Cce0E10378cd407414DeAB6B63980EAF690fEb : 1,501.6
0xb828812ba9cdB61790dC4238C386294640FA9989 : 1,496.94
0xf7065d52e4D25A9b12232e23E8159c130Ec3f6db : 1,492.77
0xc03De5ec0c0B44e5E7c7823A8F6b57C91b37D35C : 1,470.5
0xB8559f1dbE2673d9f54f55631223a14444B1a0c6 : 1,470.46
0x8C69b1ED40A78600d48d26e51Aa5b801b50cc87D : 1,453.27
0xfD7c9b587a0AEE1CCC9378D068cF2a23cBa47d1a : 1,416.96
0x9bE5C35A74D7039be9E465cf37eAa190e0Fb02a5 : 1,394.4
0x3fBbFAB0550534aAe22dcD074376cF8E8d1ae503 : 1,384.53
0x9F858135e4AB06d6ef068D779DF1C4784598c33F : 1,344.62
0x5f6786562bd34b86670aD96b0c2a7436De4e9128 : 1,343.96
0xCb2D99FF0fCAB296D46c5C2401ac7b7208A6F56C : 1,316.11
0x43bEAAf55b402A7b59b8d2696eC040Fd09f6c001 : 1,227.71
0x70764c1bf11Fd313a3405f41be822Df34d569e48 : 1,222.74
0x487DBdb932b100a126bAfDd15a0A71bAF5673057 : 1,193.3
0x1528C6c78b880f1E57F7126693709AECbb1B21a1 : 1,186.04
0x840373D882bd4F674FFe49e1D3e511C2739431bc : 1,172.14
0x4618c87Bf6f504DC27BAef206F6330031834a7Ea : 1,170.39
0x9f73b2694C701Fb8Ee6c4557f4BFea8A60d182C1 : 1,141.33
0x305B359001445f52911a3CD7e30c9883125fd46a : 1,135.31
0xE23B9d4f61A5016Fc02961e6347C177496F81Ec3 : 1,128.9
0x18b974360C6261C0eE9F87A04DA5E9B2f4447378 : 1,124.91
0x1BA2a0236acF49016DA56Ab63CC139802f7aC033 : 1,119.1
0xed88BdE7F2164f240d65145BBDc05449CF17205E : 1,105.9
0xF3e0735EC479158F88C8a681018C860A5B53dA65 : 1,103.88
0xaCAe03CDbc0aF96A43F97dFD40E5EaeB0Ebf2E2F : 1,090.5
0xbB2211E2b4971BD7483bB340A03B19Fb7Db3b5a1 : 1,062.37
0x17dB2d3e50aBA339e5c989Aa01FBbD3682af93E8 : 1,039.78
0x3FEEceb51da9b73571b21036AEd0868aA20Fb91b : 1,033.13
0x14bD27b63D25d6D315d15F0069Ba6d3DFD496384 : 1,029.98
0xebE2f6278F8382D16855cf4c441858973329527f : 1,003.81
0x20D7957A50a16b9561faf24e28b6c6fF3d85d272 : 999.69
0x2E642515418E70A35D1442667860Ec4752370d83 : 988.77
0xC7EB2ac4D418184B7aE3E86D539189ABAe01336b : 972.59
0x1B9b9877cF01a149A12513Ee44259BA6d5510C01 : 970.58
0xd691Bf2cAB87d05cEd8d3a7748b796Ea96AcbE51 : 958.82
0x2345ce86d9c9CAb4068197F88Ff8022Bd29C4C0d : 953.05
0x696452fd17A21b7A750D6f24b4807B94387464b3 : 934.39
0xDb2C23095Aa771279f1f415989076E8d47660Ec1 : 919.14
0x78911455f3B9Ca8F184b038a492bAEf87E846f44 : 907.94
0xFDb2f929A79AA3f380FBD1fE3A4B56F505fBb814 : 895.68
0x2cAA7C37d4978336b73d04Cf3bC2EBD1BA61C405 : 895.16
0x54eC6D1f7392f2276F43f8014C9bB9dC0f729b94 : 890.9
