MINTOPOLY MONEY AIRDROP (250,000 to top 150)
https://polygonscan.com/tx/0x30207d3d849c379d4472355c4aed6ada51f9ce77284e14e5e21cb90b9a0631a9

Moon Base (Top Place)
https://polygonscan.com/tx/0x66a4579b0aba4fb791d6a56627287d1c45060d93104a7b04a20d7c0b2330a161

Dapp NFT (Finishers in places 50, 75, 100)
https://etherscan.io/tx/0xd266e5c535c211b5121a3802e267d5d8ab59f789b2be9e05772c05c675d428e2
https://etherscan.io/tx/0xebc81c5e99ee78f94791c9c6d62209e00ddc76b7befea94fd8db765cafe238d9
https://etherscan.io/tx/0x56fe94b06fa4be2e4da1b6e6a148924267783e4c11ea4f45ae226a7e2b35c05c

TOKEN DISTRIBUTION
0xca38C5da68425AaD2b8cCA28D76810D114A25410 : 1,598.09
0xB714ecEcc7fc7B463586d0D4C16bBCcDC57B49AC : 1,581.63
0x50d084867477065f9A3c279eB6DcEA55A142ae81 : 1,580.14
0x6E98797a3b0a6B02819a46975F3aaC8d8b19604E : 1,559.09
0xa4A543bFB4FC4BDD8256839ac793007F39C20aB3 : 1,527.23
0xD3295A8b3E1E66E0674b5037A4dFA7611f29C769 : 1,526.48
0x4B5663BA11211f0CE3Faa16961e17323FbaE4AE3 : 1,468.06
0x8E746BdAb39E13a7b318a8A236c6953334EA650b : 1,431.13
0xA2FdC2DDF5e652af96Dae3C9D16e34c9824e99AD : 1,423.88
0x696452fd17A21b7A750D6f24b4807B94387464b3 : 1,417.14
0x9acc5DE1119867743A7e3121475153b196887d8F : 1,394.79
0x1b380E50653E8AF991Fc50Aa6CE9259c52bb5b72 : 1,393.05
0xF0B2D41d48439030ce8e0284B3F242121b85f2aA : 1,358
0x0ee1dcb705F85cEF0c13f13D72d12CDb526Cb479 : 1,336.27
0xf7065d52e4D25A9b12232e23E8159c130Ec3f6db : 1,312.41
0x60364DFeB197e00138711155f47eC2c5cC6698E9 : 1,311.3
0x9cd76b14C370B0275cE381AEE6d69Cf9Ec8e7651 : 1,308.6
0x840373D882bd4F674FFe49e1D3e511C2739431bc : 1,286.19
