Mintopoly Money Airdrop (1,000,000 to top 200)
https://polygonscan.com/tx/0x5f23bfb8b27098c42d8a8c0694dcbcfa92e756e359db758d0d647f10da70fcf4

Mintopolist Card (Top Place)
https://etherscan.io/tx/0x01f8ebb2c00200607b05f3cc135ffc5525b4701e816773c26c951a2d6302ef46

Closest to m100,000 without going over (Smart Contract Bonus)


TOKEN ALLOCATION
0x4b3f2739C06d28bE34A2b5090d15620C119E2DE9 : 601.5
0x0Ef6b0CEDcB5567f151342577787c3204595e595 : 601.27
0xC5b0dEfA8AC9031bA2F93e2379d9a34CB75C6B55 : 601.23
0x6cB17e6Ae8020a017C959932Aa36291F71a992A5 : 600.94
0xb732f8143A5c85eEF39378Ac0331d7Ae4Ad9E7d7 : 599.58
0x08C638bc0C47A053E31a8110721DD220e52FC7E2 : 598.16
0x096256F1057D04BA7fC2d7c6E4B3482ef4dCFE2f : 594.4
0xC1A3D1a7cAaCD6FC6a1Cb7901E6CCf167AEfbb4E : 593.77
0xa7f3578a9F8C5e8C2Bb54981a30e15eec60Dd038 : 593.3
0xBe9754E4A80F08fB5983B83e4701997F1B331637 : 592.89
0xA7DfCA8b6bf9A3a4d01540c4C06ce57fd0eCD910 : 589
0x7eca6C9A4BF6b7B827E50B3FaA465b6C51a5cce7 : 583.82
0x7B0Dc063B5bA7540EDd521ed4736f904a6ccAB03 : 579.99
0x504385A4E61681255d056d2767C6cAA8f69cEc41 : 579.3
0x8fB0fbC30E05d0E71540b38955e728B1DF9930D2 : 578.11
0x6C05C7d9e3bC1938EF136211c71E9CFa5c774249 : 577.85
0x21DAAdCc8A860cE71024eDf5f6Dad6DF0eC98Acc : 577.46
0xd79ED9f44e74F2Ca7bd582184F9AFd4850cC284b : 576.87
0x9398104aE0875e35D76B7878c2CE7ad5dB3Afe22 : 575.83
0x0DDeD7c62452e029c277ef33390D1fE9C4D56925 : 574.09
0x30f2DBa4092e46EB199BbD1f9d06c8B4Ca1A7Fa9 : 572.25
0x52C1aC1fCDa6fDAd17502Ce3B789658ee46E2C70 : 571.73
0x36c4D2457694cdA211aE2106959732a7BBDAF164 : 571.68
0xDF89686F65Ad26C230BDcd5D40eECE6b1eB69E3A : 564.95
0x4da1c743abE7Cb3834A341f865739f215Ff215DE : 545.58
0x8Ec939a1d2BEcf0CDa702CC55a798d79a7ac25EC : 539.59
0x487DBdb932b100a126bAfDd15a0A71bAF5673057 : 533.94
0xDc9fE4BB078660DA4F53463f417F8679AFb38248 : 528.09
0xD8Aa35E32C9Dc29c20Ae013c7c296Ef5CA533e32 : 519.04
0x20D7957A50a16b9561faf24e28b6c6fF3d85d272 : 516.11
0xbbeE182073a0CDB7EBa89BCfE0c889530c605a0f : 515.73
0xd234386B74D9Ef0E727C09C508C07a1183310fDf : 515.02
0x1FF44f4fCB5e2DA4474ece787E422261e05b8D20 : 514.58
0x6a936fF848D5C3A6C20Ea23139263dC1620bC795 : 512.59
0x025632ef2134719143c5A3a30De665c19829a788 : 504.93
0x426a7bEf9C37779eB20CB2010a5b3921443683D6 : 502.28
0xbE797CbBaFC6c03706D56d786961eda738B93f16 : 495.38
0x2079f14660BC1B14E307240BFb7C84680D080073 : 493.66
0x9BDe0C23a1B18E41fC86a2BB495e9bC0235DcFB8 : 489.47
0x83E0Ef34Ca8710457F43ab98eDb0AD95A0437340 : 480.25
0x16582a9c7F5BDe2a9D4271802c80633b43a05F15 : 478.31
0x359624F059236B1948cADe8cCc815F82A62E3B03 : 468.27
0x04333ea68D3884FacC46bB30c1E8017316c1394b : 467.26
0x7eA6Ed4F1A6D3Ef7dAd6aeEcbED701fa32d572A2 : 460.52
0xbc590C26A6dca5919e3b30332d2dc3dc80d947CC : 460.25
0xF4423F81204b715E867fb9c0F5545A880F33D65c : 448.94
0xD9e233543B69A61cfDB5784913AF53c87a7Bc83a : 447.26
0xAA739fDa5880f2BAD7967BbE69C34bB9B284Ed67 : 445.38
0x94cc3A12D81dC478155681dE9c78A3Eb2790fcF9 : 444.05
0x09EA2FE741AE319207c68738A3275E61ff56Fb96 : 440.75
0x89BCAFB24C7de1dDAe2166314718E19fE95270B2 : 438.85
0x52C927D2CafeB2DDA9124f2A0136874bDec0003d : 436.84
0x10F1A99DC15f47cd707B072045423ED2b23Fe721 : 429.49
0xDb2C23095Aa771279f1f415989076E8d47660Ec1 : 425.81
0x9509ad3e011530ADD0d58b62647ee2D414A17D6d : 424.73
0x81259E34d57A466F5032B2E8d87fb9e02B343476 : 411.63
0xD57876BB9c8c9d7074C54bD1178eB75fb52B6640 : 408.83
0x6A49Cb27dD07348FC33B0C8315FA3eDE66946C97 : 403.2
0x40f71C383dcf453F0D36766627ED66C72dB53546 : 401.8
0x88B998cf59450FBA5CaF3dc28518369CD062340B : 397.35
0x282a71D4B25cC249bEDE62d83A9304D4dcd63e4B : 396.41
0x1471437Aa5D7f999976B4E64d9b03b171C53A01B : 393.98
0xcDb8B5A7eBC5b223Cbc3fe01578D9773E2Fd6B0e : 392.48
0x3e99CefA7cDe2cf7962951D4850764fE846E75c8 : 388.48
0xDf3aacAEAeB2b01e2331CC3ab58dfa0B904A42D0 : 375.65
0xA0822664bFC5DB8B3b122575635D3c4F08C28D2c : 375.33
0x17f643F66d82bfB60a6e1c82EC8B077d8B887692 : 374.25
0xD12Eeb790d61AA51772ccb1e543375e53eF82147 : 373.97
0xe14cEC6568811Edd070D685911F333b3839e7930 : 368.6
0xDACbDa406cd9ef1817aBE136a5A65a500EA7A6DF : 368.57
0x17FACc9d625Eb37cb10AA17dC83369dB0B88E4bE : 367.17
0xE6786EbcD46E5035EE0C91B52a370183Aa6aa20c : 360.4
0x42C11AAD3F23ED37C05C393a2353c9963d49822D : 358.79
0x038D1Ba24D0Ef0CBF4Bb4bE71BC52787e9900150 : 356.79
0x6B5E3D237f532d286c0BfB9aA3B16348D149Ff50 : 355.12
0xF3d4eC9832d62B249E619C23FbBAb0cCB8f9CB58 : 351.37
0x45aBFA39DF1bDD36Ffe21E879036474C886a499b : 349.14
0x7A80D0e7920753B240c615a6a273F79E86c3648C : 349.13
0xC6B2234F63d2DbF925217D00702be8771fa45DF7 : 346.53
0x91Daf7873cf17a231C5192eD00590Dd06E5De566 : 343.93
0x3158069C241cf6C6286514FFD72361e41405e3f3 : 342.69
0xc0754cacd9509F340Fbf2785173E9C69aFA38173 : 342.3
0xA1b2da5cd6A0F23B40C2489e5cEDcfbB782796fA : 341.4
0xEc0f4CDF1c3e3B9Af89e6E503EBfF09122Cc4372 : 340.79
0x0d637D3ed1b8cA0d9Fb8473da68A27F4A73EED56 : 340.52
0x2b820EBeC0903B1781559FFd465FeafFF50CA3e6 : 338.76
0x2fE9a87E74419a0D1DFa1071888157EAAAD99e36 : 338.17
0x6714C60Fb336fdE93eC01c674992df512839acCB : 336.29
0x63d8567dfC361b00f19192Bd7C5e78570105998B : 331.62
0xD2925072CD45Fb8B27ac73c8DF6aD4a86994bb40 : 327.82
0xd98C9123De3f80A3CE73161796019D91dbe1EFeD : 327.17
0xc8dbd366275D24cE063556bFDc017b0b4633622B : 317.58
0x6EBD762383E2FbBd1445eFb7068D40e6d17B113a : 302.03
0x8F550DCafA9F5108e6A81260AB4EDCD225f4b96C : 299.75
0xc3D1FA160e74EBd53307B7Ec46132E26b6a879Cd : 297.44
0x3AcD74B7ce6805e975FeF933aE8014A93460ecf0 : 294.86
0xBc9b2293D6fe45281Aa2DB5b1f12cFDF12e75EEd : 283.06
0xF3FCA8051baa66B975E9424E3999e5C53BD322c3 : 283.06
0x60FDA4F4376f60CD72Cc2519b6bf9C47891c142F : 281.39
0x563a9c8B2904436C0dB87C3D03dc6F1db57079F1 : 278.98
0x67d12E0B0f73b80473081954d26024fF29228EaD : 278.76
0xc004D10f1FB0F2365337BD6FB47C4300999166A4 : 275.02
0xbD44793C476F7A2061229a54bc341efC554d8D03 : 273.05
0x8647D668d4a1FCCe4a985CdfE725C255Df254AAa : 272.06
0x6c043839F35f53a7681aa6656Fd9dA9c8DD80928 : 271.93
0xE2675d9b909BAe929bc199A19de2be9a66f8AF77 : 266.76
0xE66502308A3A3189d0Df5F861D0BF23cd993eaEF : 266.46
0x3202FA50DC466401dF91956b3dBa6A5Dbd8db6c8 : 266.28
0x398E45E4ad41C8627cd1cae746FCe515c63Be086 : 265.9
0xe67b8AB727a8d08cEBbfc821b5290eF8B03fDFB9 : 265.86
0xE51Cd6802E21CbC96507edb3f9F555b0C81000C8 : 265.85
0x7f54529F7d3AA1d173D9f9a68cA330157D8e1cE9 : 265.84
0xc0a2C75C7537F983aaA4086989792d110001F197 : 265.84
0x8ee29a685a2e1ab8FC9A58E2Aa676cD8769484C1 : 265.82
0x75DC483e201e527Ab99Ac84d11BcE773f7709AB5 : 265.82
0x049CE1c655F9e7B767EEf1169c05be6714c500eF : 265.82
0xC6DCaAb1B6A5CcD5c20dCE60051EbEE82378165D : 265.82
0x26bc47C34C62faCfD22327a29AbC00Fa49a033Be : 265.82
0xe63E01DdF0CB51277b1Dd8747B22603d35Fb8b06 : 265.82
0xAe63dd8511F6D5cbB2157EaD09d6e5A0c63F174b : 265.82
0x0435F1194944E7eEE29aceDb7bE175a9223bE9a7 : 265.82
0x89830F1ebffAb4899D7712a8ab6fDE1F51f20f18 : 265.82
0xE9CB46E2AF4EFfBde62838125aDc825c3c06Aad2 : 265.82
0x4ca8146506B84AE67fF7d279C16959312AEba555 : 265.82
0x755ef89D32b6Cc9322438d146cB51fc61174F44A : 265.82
0x04e809d6364c2Ca398bE0d68EcD33Da55EB8ff49 : 265.82
0x43bEAAf55b402A7b59b8d2696eC040Fd09f6c001 : 265.82
0x801A2F5f5C6f421C9D2B6Dc2d08E2fCdA0535A9c : 265.82
0xb898C3F6D8A14D83cdbDA40fB84A1ED53cAFFDa7 : 265.82
0x727F7CC9A38fa0e249F7A88231d8236B203290a1 : 265.82
0x5013B464f04c8cA6E3f2118F046148C8DE349524 : 265.82
0x4c510f2e09709B4206aBA75caeCdF1cE2cfDDa68 : 265.82
0x347f32Ba47e8473501800a2939227f6b39366fb0 : 265.82
0xe88094714c55fa9de4C104e7A863b3e93b2B0496 : 265.81
0xA1AdB8F8fd85eF9eE1c8a92cFE0823af850b01e3 : 265.81
0x4Ba7f0DCeC6e4536574d20760818Ef13F203046D : 265.8
0xf473b7e6C778c4D7F3363A4dBBb8aBC159edB122 : 265.79
0x2717A5086b3b4C91F4761f9d5F8eaCA3594f4ca0 : 265.73
0x590ea9d183B98ddB14D0b18DD680A25ae58faAeA : 265.66
0x852aaD49E3030eb39cE4C74978a0Aa2C0A47C187 : 265.53
0x4C1Ed5EaA1673b1753Ed878323206973a9fe4256 : 265.46
0x564b2064BA7fF4CA1d98F441d1ea7fD612810e11 : 264.89
0x10Bd82Cde74a7081B6E152283396F83Ca6455792 : 263
0x1594B6e655Ba697EadebcaA555Ca176Ff03F76f7 : 262.54
0xB8Fbe13A92835E5499daFa0f56AA8E74a87d6d81 : 260.23
0xb2268c118a43Ec5c893cE15817dE6776a397abD5 : 258.93
0x77d055AE451aA7C91b2D63aEB51F456063942281 : 258.64
0xe75f88022EFaCDEeAE941d4F9A51Ec67BedcC313 : 256.82
0x56Ce78f091D1dB046c31bd6A056095EdA0fB61C6 : 253.41
0xdb408b6cEEcd518f551E71b40C38cb1ADfb71c21 : 249.3
