Mintopoly Money Airdrop (1,000,000 to top 200)
https://polygonscan.com/tx/0x5f23bfb8b27098c42d8a8c0694dcbcfa92e756e359db758d0d647f10da70fcf4

Mintopolist Card (Top Place)
https://etherscan.io/tx/0x01f8ebb2c00200607b05f3cc135ffc5525b4701e816773c26c951a2d6302ef46

Closest to m100,000 without going over (Smart Contract Bonus)


TOKEN ALLOCATION
0x32eDFde0314F02Fcbc1d5c43844083EfEdB9d5F7 : 3,743.38
0x1528C6c78b880f1E57F7126693709AECbb1B21a1 : 3,740.22
0x361Be685568E802c02a655bB48eF9Ff82680eFEF : 3,724.69
0x98fcE1B5708e3dcba8AcDFC24227d1b84c6F03ed : 3,682.17
0xdbB9FF76460F11d18A4A121F563431E1b0c906B4 : 3,667.29
0xb9175d41B3E0DE630B4Bf6B1F7aE56f6BafcFEee : 3,647.83
0xfd3EFcd9A9A2E9b5e43adD568e716E30087DA1a6 : 3,613.44
0x9B33AdFa30D6bf19f213047D5DDA69a5C5229C51 : 3,607.15
0x4618c87Bf6f504DC27BAef206F6330031834a7Ea : 3,470.28
0x01daf2Dc0646014Fd6878c1420a7c489ef06714f : 3,433.85
0x772163b64A0589b0e8Da5d9D13646dba41cc7f26 : 3,431.4
0xfeA89E11f99D9593DD7C511b57AAEe2f8236238A : 3,405.7
0xA37a6F052D655f094e5635699638d27A091Ffc4e : 3,404.49
0x4F1686b577b58d36fD464B8497460aa920b6FE09 : 3,373.19
0x6023ad153509919C9118252192B7D102Db14725b : 3,344.32
0xB2AD4Cc109eFCaD0C9469C69Db830ffA426a2ac1 : 3,317.89
0xf7065d52e4D25A9b12232e23E8159c130Ec3f6db : 3,266.99
0xdc6E59958Ae67f8b81be8DDc8C97DDc3380A23e4 : 3,248.71
0xb4492D94e248A9D4327BD4B4d3edAFb648190f07 : 3,228.2
0xE904c9014F2f8BC7c9c7F5aE888CB077e31405cD : 3,226.06
0x383b208a4D51651E08f33be009654eff6F7D1c1c : 3,221.66
0xCA68A471ED1D6e9878E11B4c14d6BA1eCd822D4b : 3,216
0xA0424735CDe3A91154D1382CE85d45804a869e77 : 3,213.49
0x290cC6A39aF4e165b49ada75D72AB08605C5161C : 3,160.78
0xC62313D150A7821f4cEe07589b461e2B318B8af7 : 3,149.33
0x3EeA2C7F97c3A2439b1391C61a7a5C6e4802421E : 3,130.64
0xeE994f9F971F08451A3c429843634593B58eb4cd : 3,121.36
0xceeE69C05E9D83984752d4f04546b466AA644560 : 3,096.74
0x4B5663BA11211f0CE3Faa16961e17323FbaE4AE3 : 2,991.02
0x81184FcfFF69d410e668a85686fB460BEB5Bcd36 : 2,990.55
0x52Fa3C236C9643236c30ca05B41bB6D960472057 : 2,942.64
0xF574A1998102E836d19D2Bda61B5F4aedD2C102E : 2,931.64
0x9Cd631FeAD8137C7b87ad44058a8aebf29e7D066 : 2,923.51
0x3d128D1207d01E7629C1Cac784Eac05f05B81549 : 2,918.55
0x696452fd17A21b7A750D6f24b4807B94387464b3 : 2,909.73
0xDC1A31A9b8c4D6316D4a3fd0d4B0C4E1717C57c2 : 2,908.35
0xeA7cd77eac57e02FF2c790BEF0046f5D8a24a5e5 : 2,869.63
0x531AF785F83555847621504c6f622382a4aE8dfb : 2,810.1
0x57d1721F6223EB434e20F5b4A88e494008eA0542 : 2,807.44
0x0FaD301Edd2b19498c1AE451937Dcc7A32E98490 : 2,803.75
0x943e49f98FC71157F34e42c88b82Dd72EB663d71 : 2,791.89
0x699E9D0Db73490B05bb480a5156043B6B11f3671 : 2,782.21
0x9F858135e4AB06d6ef068D779DF1C4784598c33F : 2,712.1
0xfDD44cDF08bC79627230605cFE6Ef97379371419 : 2,703.98
0xb15fb2663014f6302112d1E9b90c240829Bad836 : 2,692.08
0xa023f7424Ba8F087143f45f9473A3eb642aef879 : 2,677.68
0x181850879715b098c9535CE6073d4FdCd0F8903F : 2,657.76
0xA2FdC2DDF5e652af96Dae3C9D16e34c9824e99AD : 2,638.51
0x22De2768c9A6bAe795672F80fe90b3998eaA2B96 : 2,628.22
0x96dc1E10dC507002a503BB47d6d52724B2645bc2 : 2,588.71
0xD1a72129f5F0b9926786dfDCcac9bB2CfB5560e0 : 2,574.5
0x964167209C71a0d45d89469C118213884C232054 : 2,554.65
0x2Ed99d82c206FCEe4a02E7d277F514e5D5c10f59 : 2,553.89
0x038a9a1D8c2559B5a61aB22ece4eAfd77bAF3375 : 2,540.78
0xF7f8663Db0acE551095C45628D0E191068dF2210 : 2,525.64
0x4AC9058d14103b6De9c7cCd9B32Ad95b88f918f5 : 2,523.83
0x3edB28989e33F0762a8BaF60d0BB34843662C2CA : 2,511.99
0x5c264f1B9404005f56b7CD2730d6132a606C677f : 2,510.63
0x19D894c0483BF404160363147C7037E1594F1de2 : 2,507.32
0x6C79C3EC9f658801a80E535b5Fa7bAd0EE974cCC : 2,490.57
0x545d45621f4E411DEd2b7C9c56aC3Ce2725fF3eb : 2,455.85
0x8D4fA51EaD04a238930a1C99B31072547f56a5e6 : 2,426.65
0x4FB580434729dcB61f0214D5fB0A1b94bf3a6105 : 2,414.36
0xED5D6B1a522A5048F7AC4e25f076e05c9041821E : 2,403.34
0x83b0f34daf8e9455d8C8C4577d45a304886efBF0 : 2,399.78
0xEfD8A84B619F1592EdA31fd259f3858b1616a15E : 2,383.09
0xEF7e98e318f73f79160170107E4b5FB3F70A9Af4 : 2,379.12
0x90A1087FFD188C79d738AE718AFC6BBc0b5C6B4d : 2,377.43
0x59e1C0653B6071fADe1457352D3A2Bfe0210650b : 2,371.14
0xa5a71a481ef2B42498556769b64E659c2539bA29 : 2,366.22
0x87ca3c630d83F87A1aA0B4294A07DEbBaF529948 : 2,350.04
0xe26e8f96a56d196807f39A9e59d0DB0Afe4188F3 : 2,314.55
0x13a92a0d8802B6d55320d7CC7C1ac633f2b4aCAb : 2,301.64
0x87131b79FAbcB85bF2C89a315B98abe2bFd79236 : 2,301.34
0xB892878C66320e90261554b3F58D9E4680eE58a1 : 2,227.49
0x1530e5708dD5055261Ce57DAd315516f3B199Cc2 : 2,222.48
0xf651EF3DC97A8b4A90341C0CeF34325CC732e47D : 2,186.76
0x87E8De38cc0101C05682FACdAFc5DC7A6453Bcc9 : 2,173.4
0x94f453424C77F0A3E3501Ae6bea2aD6744e589bA : 2,167.58
