Mintopoly Money Airdrop (1,000,000 to top 400)
https://polygonscan.com/tx/0xed25e9589fca2a704b8a43a0bb619576245ebf8a0eeb58397ec0e7142bf38045

Mintopolist Card (Top Place)
https://etherscan.io/tx/0x2911e50ee298b9a977016d1e31e545340932d8f080bbcc5587e1cdbfd7b93771

Yield Farm Card (2x players with most total investments owned - all players & those with 2 cards or less)
https://etherscan.io/tx/0xdd52417c2dd4340d514f9f03a1a151be6f85af55e521e8dbf8f6dcf94df5f0fb
https://etherscan.io/tx/0x60ea9e253f649424c765d53e1c7a1152260294a7c9fa3c6c031e493d73c686d9

TOKEN ALLOCATION
0x120ee01E847ABfB15FFa91F89F2403d7c51C4Db5 : 4000
0xe624acf53be0dA1c6e134b1Ce4200C2DF2E80F72 : 4000
0xc081307C2E5c3E4907C67dfC02eec5fD724e8916 : 4000
0x7287d9E20f41599aa961bDAD56ADF34b76a334d5 : 4000
0x53770CC11a4e990E01ef18501D3fE403777d21Df : 4000
0x66Fa4AB4049f820eA1317Cd0Aec5e8D8127F548d : 4000
0x0B5aA5328528468aef27D2E64be9F59A5eE9D32d : 4000
0x964167209C71a0d45d89469C118213884C232054 : 4000
0x3a1D1A6e7d3a47b52244D5583e0e8d5cC493DEB7 : 4000
0x0c9e2E3Ec4004Da0Cad0cFce4b06d3816bDAa1D0 : 4000
0xa722eC9FAc9C09d6cE5115fCd79eA9619D40Dc28 : 4000
0xc42Bd8870b3C21f7496185bfB420046A53921f57 : 4000
0x17Fa39106B77EAfF1dDae4CB70A55134Cd3F9dDa : 4000
0x9e276B71631f91e87540cc65f3C0AD53888fe3E2 : 4000
0x19E05B120712113923Bdb0655457b211A752b4E0 : 4000
0x799e74B8Be37B8DFE86b6132FdC52bFC3d46668d : 4000
0x4E3Ae4f6b147e9FCc126B0b54E82837531fe3445 : 4000
0x3Af961f10e064eC082845D43726FfBD7aE0c6184 : 4000
0x9B33AdFa30D6bf19f213047D5DDA69a5C5229C51 : 4000
0x82Da3b49d98b36E8259433D2cF9bBFFaE1dA2336 : 2000
0x4d9E6519D0c0262261c53F9dc427eFAbaa532dC1 : 2000
0x211758037709b3B68C8c0BD0436Bf9Ff9767250f : 2000
0x22De2768c9A6bAe795672F80fe90b3998eaA2B96 : 2000
0x9a2E61eB46DebaD914C28d6830cb972c81063d98 : 2000
0x05d77c66f4B04cda4a7Ea0B88b9e38449EF1eDa2 : 2000
0xe6CB45b772ca33A7d70c1a48D3957f0Bd61D2251 : 2000
0x2d3B5C6F19608dDa154AD8f468Fe93422D128569 : 2000
0x7309172EbD55bc672529B2FbF219E528eC143d6b : 2000
0x374dD36c486A5C6BFCc7F1c044E0e38c0762F9EA : 2000
0xd7935e02Fb59944a160C1DF42dFd9C3A4f144595 : 2000
0xf6D28582BB34dF6FF7145f49bd3D0D81a766B998 : 2000
0x318eBf12CaFed170693a0266b7122d2421Eff390 : 2000
0xAbD3674AD483Fa3CAC28BaBc3ef65A91658f219d : 2000
0x7801Ea8c4A80Ce5e75b5d53609fbAC75d2AF5571 : 2000
0x2d714773b460907b9ab13fb51B5a3dEdCf075aCD : 2000
0xB35906CBccb63c6d7EeC7f2C3218e601d988ea2b : 2000
0x6D10eF72922E30CE5C32d3b462D9C0DA52C49F61 : 2000
0xf91dAb53547F74e8b8904cAcc5b50D94Be4ccfbA : 2000
0x355830ad4Ee75CA44863e958c6e05DBf494f31B1 : 2000
0x5CCE950e9e66C6B0eAB18Da4C229677e8aD7ace7 : 2000
0xbf7890a0153C71c303De85FF3e599Cdd1fc1dc7a : 2000
0x346E8053BBa61A8A56A4fe30a249dbc714857764 : 2000
0xEF7e98e318f73f79160170107E4b5FB3F70A9Af4 : 2000
0x55428B02Ba619b82F5a45d75898261ee8B8C7963 : 2000
0x17EA70369ECAed8F8C72CD68eAaD6713B2F42C93 : 2000
0x43bEAAf55b402A7b59b8d2696eC040Fd09f6c001 : 2000
0xa781944095fCc679b86Bb8Dc1c53A6796C571Bf1 : 2000
0xdb83356190283d29E60102E2b0bbED15664D6e66 : 2000
0x2c805d9bCc17b92cc4310C40BBc81C8BE6798BB5 : 2000
0xDb2C23095Aa771279f1f415989076E8d47660Ec1 : 2000
0x8eb64269Fa99144b079B0066C082a48ed5497401 : 2000
0x77433E1400d433cD1Cd52E6a71DF933282dF34e2 : 2000
0x96dc1E10dC507002a503BB47d6d52724B2645bc2 : 2000
0x25d6AF19EFEC5121375D32801d33769d12DADD79 : 2000
0xe6B3800BEbA34c0A6A4Ff6730Afa69CFBfB6fAe5 : 2000
0xC21a016D1c3cE50D6127B7CdB1d8fe41DA9fC366 : 2000
0x979AAC5DBeeed98bdf84d8DeDA5AEC3188129a3B : 2000
0x165273d26CD19A4428c318652E04E9943b236cCD : 2000
0x9B199a4Bb2dF4aBaaC91E8c7Cd7110BAe2da7338 : 2000
0x9a218Dd07CcC2463EDEE070622D77A7fE6D2Aa50 : 2000
0xA1AdB8F8fd85eF9eE1c8a92cFE0823af850b01e3 : 2000
0x195dDE481D76440cf6Eb0a6f861413b0664f108B : 2000
