MINTOPOLY MONEY AIRDROP (250,000 to top 150)
https://polygonscan.com/tx/0xa4fddc00d72532f1b6d48c98d02bad1d5e976fc1a49f4f050b8695ab0a01155c

Moon Base (Top Place)
https://polygonscan.com/tx/0x66a4579b0aba4fb791d6a56627287d1c45060d93104a7b04a20d7c0b2330a161

Yield Farm NFT (Highest Net Worth as a Palindrome)
https://etherscan.io/tx/0xf5810da804892f385d6a284150dc09ce873584cf3d0bf8b2b5fb741ce2431bef
https://etherscan.io/tx/0x05cbfa60810140dd3057d892732dbc8321741d08f19cbd3c91eda83d71a72f58
https://etherscan.io/tx/0xd42e37d116adbcb1a632fe3843da5e345f97a9259e365b46c705229d29652901

TOKEN DISTRIBUTION
0xb828812ba9cdB61790dC4238C386294640FA9989 : 1,688.52
0x74Cce0E10378cd407414DeAB6B63980EAF690fEb : 1,671.03
0xce631360377F5bA13ec67197A32ed31657b84D53 : 1,669.98
0x14bD27b63D25d6D315d15F0069Ba6d3DFD496384 : 1,651.54
0x601CC830c38c4b93551E66909ABB07f012Ce0ddF : 1,600.74
0x1BA2a0236acF49016DA56Ab63CC139802f7aC033 : 1,599.46
0x406F58C16fB6eb28bf3D836a14c2e37EbFDa0d26 : 1,597.16
0x7f93410CC1E6Ebb22357845D490dF00BCD5BB1Ec : 1,543.33
0xbD44793C476F7A2061229a54bc341efC554d8D03 : 1,532.32
0xeA928B6Ad1632Ca590C588d4fC9b8900fce65aDF : 1,515.14
0xC7EB2ac4D418184B7aE3E86D539189ABAe01336b : 1,424.88
0xE7930Af801B8c1126Dc8251EDBb3536509E8011D : 1,401.8
0x45F9C188a212168F8e450597702D0182d0328A9e : 1,356.75
0x0eB5f43D32361cB919D9a4f11339ee834942df67 : 1,305.67
0x341f00c1b2B236EF26527590EC62F5960A356052 : 1,280.54
0xca38C5da68425AaD2b8cCA28D76810D114A25410 : 1,260.72
0x82b8b4d5E6419FfF1e63cCb0C2d8D8503643d279 : 1,139.56
0x4618c87Bf6f504DC27BAef206F6330031834a7Ea : 1,128.88
0x50d084867477065f9A3c279eB6DcEA55A142ae81 : 1,087.06
0x4B70AC27Eb119D34f7B8A53A50b2FB264de13766 : 1,084.11
0xCb2D99FF0fCAB296D46c5C2401ac7b7208A6F56C : 1,048.67
0xC21a016D1c3cE50D6127B7CdB1d8fe41DA9fC366 : 1,048.28
0xeA4F3A01367BcFc0CA922B728fa36d4C17d8bA90 : 1,020.62
0x9f2A325581f26cc0Ef573Dee3AA797f05Ad8CaBc : 1,014.55
